statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
6,6515,114032,114032,1,1,150115,150115,1,1
6,6701,106750,106750,1,1,105079,105079,1,1
6,6702,97081,97081,1,1,110868,110868,1,1
6,6703,110710,110710,1,1,109370,109370,1,1
6,6704,121466,121466,1,1,119698,119698,1,1
6,6705,45882,45882,1,1,104243,104243,1,1
6,6706,105693,105693,1,1,116635,116635,1,1
6,6707,115936,115936,1,1,113698,113698,1,1
6,6708,135743,135743,1,1,133058,133058,1,1
6,6709,133049,133049,1,1,137826,137826,1,1
6,6710,81262,81262,1,1,152642,152642,1,1
6,6711,80564,80564,1,1,106501,106501,1,1
6,6712,89445,89445,1,1,109170,109170,1,1
6,7101,133930,133930,1,1,139447,139447,1,1
6,7102,93669,93669,1,1,161996,161996,1,1
6,7103,122016,122016,1,1,167046,167046,1,1
6,7104,94583,94583,1,1,110315,110315,1,1
6,7105,118794,118794,1,1,137401,137401,1,1
6,7106,89675,89675,1,1,102661,102661,1,1
6,7107,95484,95484,1,1,106289,106289,1,1
6,7108,152271,152271,1,1,169385,169385,1,1
6,7109,96034,96034,1,1,108455,108455,1,1
6,7110,87662,87662,1,1,106132,106132,1,1
6,7111,127704,127704,1,1,165176,165176,1,1
6,7112,112271,112271,1,1,120986,120986,1,1
6,7113,159009,159009,1,1,167275,167275,1,1
6,7114,140662,140662,1,1,155212,155212,1,1
6,7115,85631,85631,1,1,117434,117434,1,1
6,7301,181361,181361,1,1,190634,190634,1,1
6,7302,105276,105276,1,1,116701,116701,1,1
6,7303,102068,102068,1,1,106971,106971,1,1
6,7304,92637,92637,1,1,114712,114712,1,1
6,7305,88011,88011,1,1,115517,115517,1,1
6,7306,126703,126703,1,1,137469,137469,1,1
6,7307,101607,101607,1,1,105535,105535,1,1
6,7308,116816,116816,1,1,124735,124735,1,1
6,7309,131410,131410,1,1,161646,161646,1,1
6,7310,165134,165134,1,1,167154,167154,1,1
6,7311,87300,87300,1,1,111161,111161,1,1
6,7312,97162,97162,1,1,110017,110017,1,1
6,7313,170456,170456,1,1,175677,175677,1,1
6,7314,143052,143052,1,1,148200,148200,1,1
6,7315,144018,144018,1,1,151208,151208,1,1
6,7316,155796,155796,1,1,165573,165573,1,1
6,7317,168028,168028,1,1,163042,163042,1,1
6,7318,156279,156279,1,1,155805,155805,1,1
6,7319,119662,119662,1,1,129770,129770,1,1
6,7320,74386,74386,1,1,135320,135320,1,1
6,7321,162766,162766,1,1,173552,173552,1,1
6,7322,123904,123904,1,1,134914,134914,1,1
6,7501,136975,136975,1,1,136936,136936,1,1
6,7502,107285,107285,1,1,107027,107027,1,1
6,7503,107054,107054,1,1,129066,129066,1,1
6,7504,109355,109355,1,1,106640,106640,1,1
6,7505,105532,105532,1,1,105336,105336,1,1
6,7506,105193,105193,1,1,110830,110830,1,1
6,7507,105338,105338,1,1,109400,109400,1,1
6,7701,146175,146175,1,1,173937,173937,1,1
6,7702,135237,135237,1,1,152010,152010,1,1
6,7703,134322,134322,1,1,195536,195536,1,1
6,7704,147864,147864,1,1,163823,163823,1,1
6,7901,152725,152725,1,1,163049,163049,1,1
6,7902,93956,93956,1,1,106588,106588,1,1
6,8101,140754,140754,1,1,137297,137297,1,1
6,8102,112154,112154,1,1,117380,117380,1,1
6,8103,100673,100673,1,1,104258,104258,1,1
6,8104,114783,114783,1,1,118704,118704,1,1
6,8105,123965,123965,1,1,127245,127245,1,1
6,8106,114833,114833,1,1,113567,113567,1,1
6,8301,103411,103411,1,1,121676,121676,1,1
6,8302,97541,97541,1,1,102551,102551,1,1
6,8303,198398,198398,1,1,199668,199668,1,1
6,8501,184797,184797,1,1,195320,195320,1,1
6,8502,137849,137849,1,1,146619,146619,1,1
6,8503,110077,110077,1,1,130275,130275,1,1
6,8504,123406,123406,1,1,128989,128989,1,1
6,8505,104767,104767,1,1,106040,106040,1,1
6,8506,97828,97828,1,1,110301,110301,1,1
6,8507,130449,130449,1,1,136555,136555,1,1
6,8508,129565,129565,1,1,133422,133422,1,1
6,8509,116043,116043,1,1,121804,121804,1,1
6,8510,137391,137391,1,1,150464,150464,1,1
6,8511,101180,101180,1,1,104222,104222,1,1
6,8512,103711,103711,1,1,105399,105399,1,1
6,8513,97495,97495,1,1,108883,108883,1,1
6,8514,108030,108030,1,1,103349,103349,1,1
6,8701,139911,139911,1,1,141949,141949,1,1
6,8702,115691,115691,1,1,120433,120433,1,1
6,8900,163256,163256,1,1,177223,177223,1,1
6,9501,146849,146849,1,1,144838,144838,1,1
